Camera ID,Location Name,Camera Status,Turn on Date,Camera Manufacturer,ATD Location ID,Landmark,Signal Engineer Area,Council District,Jurisdiction,Location Type,Primary St Segment ID,Cross St Segment ID,Primary Street Block,Primary Street,PRIMARY_ST_AKA,Cross Street Block,Cross Street,CROSS_ST_AKA,COA Intersection ID,Modified Date,IP Comm Status,IP Comm Status Date and Time,Published Screenshots,Screenshot Address,Funding,ID,Location
370, PLEASANT VALLEY RD / NUCKOLS CROSSING RD,TURNED_ON,5/24/2018,Advidia,LOC16-003180,,SOUTHEAST,2,AUSTIN FULL PURPOSE,ROADWAY,,,6201, PLEASANT VALLEY RD,,6112, NUCKOLS CROSSING RD,,5157009,10/28/2021 08:40:00 AM +0000,ONLINE,10/28/2021 08:30:00 AM +0000,,https://cctv.austinmobility.io/image/370.jpg,1/4 Cent,591a10a020eacf2d16669b94,POINT (-97.7449036 30.1844883)
379, BARTON SPRINGS RD / KINNEY AVE,TURNED_ON,5/21/2018,Advidia,LOC16-000640,,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,1501, BARTON SPRINGS RD,,501, KINNEY AVE,,5154418,10/29/2021 08:45:00 AM +0000,ONLINE,10/29/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/379.jpg,1/4 Cent,591a10a020eacf2d16669ba6,POINT (-97.761467 30.261982)
404, SPRINGDALE RD / OAK SPRINGS DR,TURNED_ON,6/7/2018,Advidia,LOC16-000800,,NORTHEAST,"3, 1",AUSTIN FULL PURPOSE,ROADWAY,,,1100, SPRINGDALE RD,,3600, OAK SPRINGS DR,,5163165,10/29/2021 07:38:00 PM +0000,ONLINE,10/28/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/404.jpg,1/4 Cent,591a10a120eacf2d16669bd8,POINT (-97.6904221 30.2735615)
447, BRAKER LN / STONELAKE BLVD,TURNED_ON,9/9/2016,Advidia,LOC16-003740,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,4200, BRAKER LN,,10201, STONELAKE BLVD,,5156985,10/29/2021 07:49:00 PM +0000,ONLINE,10/23/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/447.jpg,1/4 Cent,591a10a320eacf2d16669c2e,POINT (-97.7392883 30.3989582)
552, EXPOSITION BLVD / WESTOVER RD,TURNED_ON,2/24/2020,Advidia,LOC16-003710,,CENTRAL,10,AUSTIN FULL PURPOSE,ROADWAY,,,2612, EXPOSITION BLVD,,2601, WESTOVER RD,,5153874,10/29/2021 07:47:00 PM +0000,ONLINE,10/20/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/552.jpg,None Identified,5aa6bb0121cbcf4b8b767294,POINT (-97.7643051 30.3030338)
949, BEN WHITE BLVD SVRD / MONTOPOLIS DR,TURNED_ON,,Spectra Enhanced,LOC16-002490,,SOUTHEAST,"3, 2",AUSTIN FULL PURPOSE,ROADWAY,,,6304, BEN WHITE BLVD SVRD,,3000, MONTOPOLIS DR,,5161016,10/31/2021 08:46:00 AM +0000,OFFLINE,10/31/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/949.jpg,None Identified,5f8da8ae4e4035067602f4e3,POINT (-97.7120972 30.2126865)
590, ESCARPMENT BLVD / LA CROSSE AVE,TURNED_ON,3/29/2019,Advidia,LOC16-003350,,SOUTHWEST,8,AUSTIN FULL PURPOSE,ROADWAY,,,10400, ESCARPMENT BLVD,,5801, LA CROSSE AVE,,5143993,10/19/2021 08:40:00 AM +0000,OFFLINE,10/19/2021 08:30:00 AM +0000,,https://cctv.austinmobility.io/image/590.jpg,None Identified,5c9caf2bd4246d32269e5a89,POINT (-97.8848801 30.1939869)
323, MENCHACA RD / MATTHEWS LN,TURNED_ON,7/27/2017,Spectra Enhanced,LOC16-000965,,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,7100, MENCHACA RD,,2001, MATTHEWS LN,,5149803,10/15/2021 08:46:00 AM +0000,OFFLINE,10/15/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/323.jpg,1/4 Cent,591a109e20eacf2d16669b36,POINT (-97.8073349 30.1999645)
499, STASSNEY LN / 1ST ST,TURNED_ON,6/26/2017,Advidia,LOC16-001975,,SOUTHWEST,"3, 2",AUSTIN FULL PURPOSE,ROADWAY,,,600, STASSNEY LN,,5501, 1ST ST,,5152189,10/15/2021 08:46:00 AM +0000,ONLINE,10/15/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/499.jpg,None Identified,5951a4bbd8e003500a760c1e,POINT (-97.7815247 30.2084713)
287,IH 35 SVRD / 32ND ST,REMOVED,,,LOC16-004800,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,3109,IH 35 SVRD,,1034, 32ND ST,,5159577,09/19/2021 06:17:00 PM +0000,OFFLINE,12/28/2018 09:35:00 AM +0000,,https://cctv.austinmobility.io/image/287.jpg,None Identified,582a419a5e304c982be5c3b0,POINT (-97.723053 30.2890625)
